"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 31 23:38:14 MSK 2026","Mon Aug 31 23:38:17 MSK 2026","2858","","DesignerTest","","DesignerTest","GoFillingsSection","GoFillingsSection",""
"passed","Mon Aug 31 23:38:40 MSK 2026","Mon Aug 31 23:38:43 MSK 2026","2843","","RegistrationTest","","RegistrationTest","shouldRegistrationSuccessful","shouldRegistrationSuccessful",""
"passed","Mon Aug 31 23:38:10 MSK 2026","Mon Aug 31 23:38:14 MSK 2026","3833","","DesignerTest","","DesignerTest","GoBunSection","GoBunSection",""
"passed","Mon Aug 31 23:38:28 MSK 2026","Mon Aug 31 23:38:32 MSK 2026","4048","","LoginTest","","LoginTest","loginRegistrationForm","loginRegistrationForm",""
"passed","Mon Aug 31 23:38:36 MSK 2026","Mon Aug 31 23:38:40 MSK 2026","4202","","LoginTest","","LoginTest","loginPersonalAccount","loginPersonalAccount",""
"passed","Mon Aug 31 23:38:43 MSK 2026","Mon Aug 31 23:38:46 MSK 2026","2884","","RegistrationTest","","RegistrationTest","shouldShowErrorForShortPassword","shouldShowErrorForShortPassword",""
"passed","Mon Aug 31 23:38:32 MSK 2026","Mon Aug 31 23:38:36 MSK 2026","3598","","LoginTest","","LoginTest","loginMainPageButton","loginMainPageButton",""
"passed","Mon Aug 31 23:38:04 MSK 2026","Mon Aug 31 23:38:10 MSK 2026","5235","","DesignerTest","","DesignerTest","GoSaucesSection","GoSaucesSection",""
"passed","Mon Aug 31 23:38:17 MSK 2026","Mon Aug 31 23:38:28 MSK 2026","11430","","LoginTest","","LoginTest","loginForgotPasswordForm","loginForgotPasswordForm",""
